NAALADL1	178	128	166	221	198	164	163	170	106	76	2687
CDKN2B-AS1	212	177	238	266	261	29	20	10	20	8	3837
GUSBP9	7	13	15	19	20	11	12	10	7	2	610
SIGLEC14	25	11	22	25	18	113	117	119	94	60	2113
SKCG-1	0	0	0	0	0	2	0	0	0	0	375
LOC100049716	374	383	389	470	400	321	314	349	259	175	2653
ACOT8	1431	1175	1328	1594	1312	2230	2131	2215	1596	1133	1157
ABI1	3524	2898	3702	4294	4155	6161	6142	6880	4987	4112	3776
GNPDA1	4517	3984	4993	5786	4834	3125	2909	3322	2582	1921	2297
MIMT1	39	25	56	65	76	109	113	130	84	83	1288
KCNE3	66	55	61	83	76	168	155	182	140	107	3070
ZBTB33	3294	2818	3648	4235	4097	3308	3290	3533	2805	2308	5311
SNHG8	3800	2983	3528	4001	3796	2630	2297	2523	1765	1443	619
LOC100093631	7742	6912	8893	10552	9049	13276	13262	15031	10984	8426	3454
CDH3	1234	1017	1168	1367	1182	528	464	514	344	276	4276
TANK	1633	1340	1907	2060	2060	1522	1676	1856	1330	1170	2275
TTTY21B	0	0	0	0	0	0	0	0	0	0	307
TTTY1B	0	0	0	0	0	0	0	0	2	0	940
TTTY2B	0	0	0	0	0	1	3	0	0	0	1633
TTTY8B	0	0	0	0	0	0	0	0	0	0	531
TTTY7B	0	0	0	0	0	0	0	0	0	0	1111
TTTY23B	0	0	0	0	0	0	1	0	0	0	512
HAVCR1P1	23	19	26	36	23	32	44	60	33	16	1255
POM121C	7190	5992	7196	8654	6786	4532	4293	4738	3360	2304	5863
ZSCAN30	936	935	1025	1263	1080	1777	1767	1929	1480	1243	4332
PSIMCT-1	444	360	552	549	493	233	192	215	138	140	839
ANKRD26P3	3	3	4	0	1	10	10	14	6	9	3726
SRA1	2299	1860	2395	2588	2133	2300	2344	2495	1843	1305	1948
SNORD119	15	16	12	28	28	0	2	1	2	2	96
SNORD121A	2	2	2	2	4	0	1	0	0	1	91
SNORD125	18	21	25	33	21	14	22	22	7	10	96
SNORD19B	50	31	50	56	52	9	9	10	11	6	93
SNORD105B	1	0	0	0	0	0	3	1	0	0	92
SNORD123	0	3	3	4	2	0	0	0	0	1	88
SNORD121B	18	18	27	14	20	3	13	13	8	5	93
UCKL1-AS1	113	86	83	117	87	184	153	193	144	78	3571
SNORD127	5	3	1	3	5	4	4	7	1	2	101
SNORD124	24	25	27	44	33	27	39	48	24	22	104
SNORD126	0	0	2	0	2	1	2	0	0	1	99
