LOC100093631	15301	16725	14264	19871	22045	24832	22136	21118	3454
CDH3	2106	1994	1808	2497	757	805	704	646	4276
TANK	3465	3658	3196	4312	3005	3192	3118	2917	2275
TTTY21B	0	0	0	0	0	0	0	0	307
TTTY1B	0	0	0	0	0	0	0	0	940
TTTY2B	0	0	0	0	1	0	1	4	1633
TTTY8B	0	0	0	1	0	0	0	0	531
TTTY7B	0	0	0	0	0	0	0	0	1111
TTTY23B	0	0	0	0	1	1	0	0	512
HAVCR1P1	50	57	57	89	53	79	68	34	1255
POM121C	11877	12072	10107	16171	6811	6955	6478	6351	5863
ZSCAN30	2024	2083	1841	2451	3127	3593	3276	2934	4332
PSIMCT-1	812	878	676	1062	331	367	324	309	839
ANKRD26P3	3	0	4	5	19	29	10	13	3726
SRA1	3685	3862	3192	4918	3324	3661	3313	3259	1948
SNORD119	33	46	35	35	7	4	0	3	96
SNORD121A	3	9	7	4	1	0	2	0	91
SNORD125	46	43	16	49	31	21	35	25	96
SNORD19B	96	119	94	105	11	26	22	27	93
SNORD105B	3	0	1	2	0	0	0	0	92
SNORD123	2	2	6	0	0	3	0	1	88
SNORD121B	38	37	31	50	7	24	14	12	93
UCKL1-AS1	131	133	120	171	245	307	242	183	3571
SNORD127	8	7	12	6	9	9	15	5	101
SNORD124	45	53	24	54	45	56	50	57	104
SNORD126	1	2	2	0	0	0	1	0	99
SNORD11B	2	3	2	3	2	2	0	0	112
SNORD12B	114	99	95	131	7	13	11	8	103
SNORD111B	0	0	0	0	0	0	0	1	94
TMEM170B	2889	3290	2943	3478	12493	14070	12819	11927	8362
FAM138E	10	16	8	23	0	0	0	1	1130
SNORD58C	237	240	229	249	57	75	69	73	90
SCARNA27	63	68	43	74	17	16	13	9	126
SNORA84	13	19	8	15	0	1	1	1	133
SNORA36C	0	0	0	1	0	1	0	0	128
SNORA38B	13	6	4	14	1	3	4	2	132
SNORA70B	7	8	0	6	1	5	6	2	134
SNORA70C	0	0	0	0	0	1	0	0	136
SNORA11B	0	1	0	0	0	0	1	0	127
SNORA11C	0	0	1	0	0	0	0	0	127
SNORA11D	0	4	0	5	1	3	7	0	127
SNORA11E	28	20	35	34	32	26	28	26	127
LOC100124692	136	115	99	178	9	17	10	14	3538
HOTAIR	414	450	340	572	1	3	0	1	2333
ZGLP1	354	342	314	467	732	766	726	596	1980
FAM86JP	427	405	387	573	155	153	165	144	2041
FMR1-AS1	6	22	12	22	21	19	9	16	3026
MIR298	7	5	7	14	0	0	0	0	88
MIR300	0	0	0	0	0	1	0	1	83
VTRNA2-1	7	2	2	2	0	0	0	0	100
MIR509-2	0	0	0	0	0	0	0	0	91
MIR450B	0	1	1	2	0	1	1	0	78
MIR890	0	0	0	0	0	3	0	0	77
MIR891B	0	0	0	0	0	0	0	0	79
MIR888	0	0	0	0	0	1	0	3	77
MIR892B	0	0	0	0	4	3	7	5	77
MIR541	0	0	0	0	6	5	1	3	84
MIR875	0	0	0	0	0	0	0	0	76
MIR876	0	0	0	0	0	0	0	0	81
MIR147B	0	0	0	0	0	0	0	0	80
MIR744	0	0	0	0	1	2	2	1	98
MIR877	0	0	0	0	0	0	0	0	86
MIR665	0	0	0	0	0	1	0	0	72
MIR873	0	0	0	0	0	0	0	0	77
MIR374B	1	7	11	16	23	37	33	26	72
MIR301B	0	0	0	0	0	0	0	0	78
MIR216B	0	0	0	0	0	0	0	0	82
MIR920	0	1	0	0	0	0	0	0	75
MIR922	0	0	0	0	0	0	0	0	81
MIR924	0	1	0	0	0	0	0	0	53
MIR934	0	0	0	0	0	0	0	0	83
MIR935	0	0	0	0	0	0	0	0	91
MIR936	0	0	0	1	0	0	0	0	98
MIR938	1	1	0	1	0	0	0	0	83
MIR940	21	27	26	48	26	19	20	19	94
MIR941-1	3	7	3	5	1	2	7	5	57
MIR942	0	2	1	3	0	0	0	0	86
MIR943	13	10	5	14	7	11	12	13	94
MIR708	4	0	1	3	0	1	1	4	88
MIR885	0	0	0	0	0	0	0	0	74
MIR543	0	0	0	0	0	0	0	0	78
MIR208B	0	0	0	0	1	2	1	1	77
MIR509-3	0	0	1	0	0	0	0	2	75
MIR937	0	0	0	0	0	0	0	0	86
MIR941-2	0	3	2	2	3	1	3	3	89
MIR944	0	0	0	0	0	0	0	0	88
MIR891A	0	0	0	0	0	0	0	0	79
MIR892A	0	0	0	0	5	14	4	4	75
MIR874	5	0	2	0	4	3	11	3	78
MIR889	0	0	0	0	0	0	0	0	79
MIR190B	0	0	0	0	0	0	0	0	79
MIR887	0	0	1	0	0	0	0	0	79
MIR760	2	2	1	5	17	28	29	16	80
MIR921	0	0	0	1	2	0	0	0	56
MIR933	8	3	5	3	2	5	4	6	77
MIR939	0	0	1	0	0	0	0	1	82
MIR297	0	0	0	0	0	0	0	0	66
MIR365A	0	1	0	1	0	0	0	0	87
MIR365B	0	1	1	1	0	1	1	0	111
LOC100126447	13	14	7	14	0	0	0	0	652
LOC100126582	23	37	25	39	40	40	37	37	1718
LINC00322	240	214	184	339	21	18	12	13	3781
SNAR-G1	0	1	1	4	0	0	0	0	128
SNAR-F	1	1	0	0	0	0	0	0	123
LOC100126784	264	252	175	302	1570	1594	1498	1439	3667
EGOT	0	3	2	3	3	4	1	3	1464
GHRLOS	156	179	145	232	68	83	58	64	1708
SNAR-A1	0	0	0	0	0	0	1	0	122
SNAR-A2	0	1	0	0	0	0	0	0	122
SNAR-A12	0	0	0	0	0	0	0	0	122
KIAA1024L	3	4	5	6	1	1	1	1	573
LOC100127888	231	248	191	307	126	143	116	129	1423
C10ORF131	38	33	22	36	27	41	40	41	1176
LOC100127909	2	0	1	2	0	0	0	0	1515
LOC100127910	44	62	48	51	54	51	44	33	2247
LOC100127919	0	0	0	0	0	0	0	0	483
LOC100127946	9	7	3	11	3	2	7	5	759
