NAALADL1	130	111	162	149	77	115	68	176	109	68	2687
CDKN2B-AS1	120	70	64	134	50	17	12	0	8	2	3837
GUSBP9	0	2	0	0	1	0	0	0	0	0	610
SIGLEC14	12	26	16	43	4	131	86	119	163	62	2113
SKCG-1	0	0	0	0	0	0	0	0	0	0	375
LOC100049716	249	176	186	252	106	82	129	114	168	68	2653
ACOT8	1658	1211	1417	2343	626	1066	747	1291	970	674	1157
ABI1	2150	2011	1994	2411	1191	2631	2424	2402	3667	1498	3776
GNPDA1	4205	4032	3531	5300	2010	1779	1459	1845	2181	1053	2297
MIMT1	66	38	40	51	21	60	44	44	92	42	1288
KCNE3	36	54	33	62	32	88	58	56	109	41	3070
ZBTB33	1637	1089	888	1078	860	1038	892	749	1598	624	5311
SNHG8	3574	2919	3075	4383	1305	1260	977	1194	1655	766	619
LOC100093631	10056	8327	6061	10179	4736	8397	7910	8200	12063	5624	3454
CDH3	990	832	785	1236	417	167	153	183	161	95	4276
TANK	1364	1077	831	1228	580	742	749	785	1102	509	2275
TTTY21B	0	0	0	0	0	0	0	0	0	0	307
TTTY1B	0	0	0	0	0	0	0	0	0	0	940
TTTY2B	0	0	0	0	0	0	0	0	0	0	1633
TTTY8B	0	0	0	0	0	0	0	0	0	0	531
TTTY7B	0	0	0	0	0	0	0	0	0	0	1111
TTTY23B	0	0	0	0	0	0	0	0	0	0	512
HAVCR1P1	0	9	2	10	5	4	7	10	2	1	1255
POM121C	4701	4033	3639	4871	2180	1417	1122	1513	1637	995	5863
ZSCAN30	464	404	367	406	281	483	377	340	629	284	4332
PSIMCT-1	179	193	159	231	177	29	44	43	50	26	839
ANKRD26P3	1	2	1	0	2	6	2	3	8	1	3726
SRA1	3019	2786	2849	3696	1008	1402	1101	1500	1587	619	1948
SNORD119	65	9	5	26	34	45	32	33	50	11	96
SNORD121A	0	0	0	0	0	0	0	0	0	0	91
SNORD125	11	3	4	19	6	7	10	7	4	4	96
SNORD19B	9	7	2	5	3	0	0	0	8	1	93
SNORD105B	23	0	4	3	2	1	6	14	5	3	92
SNORD123	0	0	0	0	1	1	0	0	2	0	88
